,Unnamed: 0,Name,Country,swim,bike,run,finish,Agegroup,Gender,Year,Avg Temp,Hi Temp,Humidity,Wind Speed,Wind Direction,West,South,Female
60,60,"Marcotte, Kyle",CAN,56.4,298.41700000000003,213.017,575.8,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
61,61,"Marques, Sergio",PRT,59.117,331.63300000000004,189.533,587.2669999999999,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
62,62,"Marr, Timothy",USA,51.7,287.65,184.0,528.8330000000001,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
63,63,"Masuda, Daiki",JPN,58.8,324.15,218.583,606.8330000000001,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
64,64,"Matter, Sibylle",CHE,56.25,320.217,203.25,584.9,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
65,65,"Matula, Martin",CZE,56.5,295.733,179.167,536.15,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
66,66,"Mcdonald, Alex",USA,63.35,300.117,182.233,550.367,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
67,67,"Mckenzie, Luke",AUS,51.6,292.05,194.55,542.283,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
68,68,"Meyers, Katya",USA,70.717,334.13300000000004,209.1,623.0169999999999,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
69,69,"Miyazaki, Yausko",JPN,66.85,349.9,231.267,653.2669999999999,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
70,70,"Mühlbauer, Hans",DEU,56.15,316.75,206.25,585.433,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
71,71,"Neill, Mike",CAN,56.283,292.467,183.483,537.0,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
72,72,"Niederreiter, Daniel",AUT,56.0,295.25,201.7,556.9,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
73,73,"Oswin, Prue",AUS,76.283,353.18300000000005,235.917,671.8,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
74,74,"Patrcevic, Dejan",HRV,56.033,302.517,170.967,534.317,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
75,75,"Paul, Charlotte",AUS,63.233000000000004,326.517,186.217,581.25,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
76,76,"Phelan, Donna",CAN,58.783,345.43300000000005,220.25,630.633,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
77,77,"Pichler, Silke",AUT,91.2,382.38300000000004,237.667,717.717,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
78,78,"Potts, Andy",USA,48.667,286.0,174.517,513.8330000000001,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
79,79,"Rhodes, Bryan",NZL,51.433,276.367,202.017,533.5830000000001,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
80,80,"Robertson, Tracy",USA,71.017,334.06699999999995,198.38299999999998,608.433,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
81,81,"Ronco, Will",USA,60.617,299.1,181.38299999999998,545.5830000000001,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
82,82,"Rossmann, Benjamin",DEU,68.783,301.15,170.8,545.25,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
83,83,"s, Bradley",USA,59.283,317.91700000000003,169.283,552.033,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
84,84,"Sanson, Benjamin",FRA,48.667,334.15,286.317,675.367,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
85,85,"Schildknecht, Ronnie",CHE,54.933,274.41700000000003,168.317,501.767,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
86,86,"Schoissengeier, Peter",AUT,54.883,289.767,261.567,610.617,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
87,87,"Schuberth, Elmar",AUT,54.733000000000004,308.55,193.15,561.717,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
88,88,"Shiono, Emi",JPN,74.567,322.383,195.35,597.067,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
89,89,"Sindballe, Torbjorn",DNK,51.817,267.66700000000003,230.683,554.717,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
90,90,"Snow, Caitlin",USA,59.016999999999996,336.95,181.983,583.45,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
91,91,"Snow, Tim",USA,58.85,340.033,197.05,602.85,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
92,92,"Soderdahl, Kai",FIN,63.65,320.617,191.317,581.317,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
93,93,"Stadler, Normann",DEU,54.25,269.933,195.533,524.067,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
94,94,"Stadlmann, Monika",AUT,63.6,350.5,231.783,652.433,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
95,95,"Stewart, Tyler",USA,70.933,319.08299999999997,229.11700000000002,624.183,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
96,96,"Strini, Markus",AUT,63.467,293.533,182.25,544.5169999999999,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
97,97,"Sturla, Eduardo",ARG,54.783,274.433,183.317,516.883,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
98,98,"Tani, Shingo",JPN,60.733000000000004,314.08299999999997,179.4,559.133,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
99,99,"Toivanen, Teemu",FIN,54.8,301.08299999999997,207.55,568.133,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
100,100,"Tollakson, Tj",USA,51.783,312.25,223.983,593.717,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
101,101,"Twelsiek, Maik",DEU,54.667,275.0,193.8,528.617,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
102,102,"Vabrousek, Petr",CZE,58.85,296.617,184.533,544.7,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
103,103,"Van Vlerken, Yvonne",NLD,66.817,305.567,184.433,561.3330000000001,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
104,104,"Vanhoenacker, Marino",BEL,54.683,286.317,188.36700000000002,533.2330000000001,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
105,105,"Vernay, Patrick",NCL,51.967,282.817,171.667,510.38300000000004,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
106,106,"Vytrisal, Frank",DEU,56.3,290.133,192.85,545.783,Pro,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
107,107,"Wallenhorst, Sandra",DEU,63.35,314.933,178.583,562.867,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
108,108,"Washizu, Naomi",JPN,63.533,322.05,200.333,594.133,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
109,109,"Wellington, Chrissie",GBR,56.333,308.25,177.733,546.383,Pro,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
110,110,"Annett, Jen",CAN,72.85,364.11699999999996,236.683,682.217,18-24,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
111,111,"Beardall, Timothy",AUS,63.9,304.933,210.917,586.6,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
112,112,"Berg, Marit",NOR,73.15,399.517,299.85,784.35,18-24,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
113,113,"Bertino, Alessandro",ITA,63.117,314.2,213.583,598.35,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
114,114,"Bischof, Marcel",DEU,73.5,345.25,212.567,636.7330000000001,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
115,115,"Boehmer, Jeff",USA,60.983000000000004,349.733,277.1,698.283,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
116,116,"Braverman, Amanda",USA,70.367,387.86699999999996,280.25,743.55,18-24,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
117,117,"Bruijns, Joanna",CAN,89.78299999999999,513.967,394.983,1015.85,18-24,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
118,118,"Burns, Lauren",USA,72.883,339.75,215.167,632.9830000000001,18-24,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
119,119,"Chmelicek, Jakub",CZE,58.967,314.117,213.767,594.3330000000001,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
120,120,"Eastman, Lindsey",USA,65.75,479.917,363.533,922.867,18-24,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
121,121,"Ebert, Henrique",BRA,58.033,334.017,208.55,608.217,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
122,122,"Ebner, Stefan",AUT,62.933,345.61699999999996,277.45,694.883,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
123,123,"Esch, Julie",USA,74.75,381.417,275.16700000000003,742.067,18-24,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
124,124,"Evans, Jacob",USA,74.1,331.81699999999995,224.63299999999998,639.533,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
125,125,"Fabricius, Mads",DNK,102.56700000000001,346.1,302.733,772.05,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
126,126,"Foster, Tyler",USA,59.367,444.783,328.733,846.85,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
127,127,"Fountain, Dustin",CAN,66.233,377.7,265.033,717.633,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
128,128,"French, Lauren",AUS,64.767,358.6,214.05,646.183,18-24,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
129,129,"Glauser, Grant",USA,58.5,322.5,328.81699999999995,722.7330000000001,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
130,130,"Gordon, Elizabeth",AUS,64.133,340.5,221.36700000000002,633.65,18-24,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
131,131,"Guillaume, Romain",FRA,52.617,303.233,195.61700000000002,555.933,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
132,132,"Harrison, William",USA,64.933,315.533,230.2,616.95,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
133,133,"Henbest, Ariel",USA,91.383,513.783,387.11699999999996,1006.183,18-24,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
134,134,"Hermanson, Mike",USA,59.35,343.68300000000005,216.65,626.7669999999999,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
135,135,"Jackson, Heather",USA,71.85,323.55,223.667,623.9169999999999,18-24,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
136,136,"Kopecky, Greg",USA,59.4,321.58299999999997,221.7,609.633,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
137,137,"Kühnlein, Angela",DEU,66.2,357.85,241.61700000000002,670.817,18-24,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
138,138,"Larrosa Poveda, Vanessa",ESP,106.25,425.717,282.75,830.9830000000001,18-24,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
139,139,"Ludlow, Lindsay",USA,63.8,352.517,239.833,662.533,18-24,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
140,140,"Meewes, Chris",USA,62.683,336.267,226.65,631.5169999999999,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
141,141,"Melnuk, Bryan",USA,67.8,314.8,290.733,681.067,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
142,142,"Newman-Wise, Lisa",USA,63.817,360.533,242.567,674.0,18-24,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
143,143,"Nilsson, Hans",DNK,65.033,308.633,177.8,558.1,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
144,144,"O'Neill, Emma",AUS,71.483,363.0,231.55,673.2669999999999,18-24,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
145,145,"Pallardy, Kate",USA,65.467,350.06699999999995,217.13299999999998,640.467,18-24,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
146,146,"Parry, Michael",USA,64.267,371.25,240.9,683.4,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
147,147,"Pryer, Richard",GBR,57.167,337.267,264.58299999999997,666.25,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
148,148,"Richter, Stefan",DEU,57.117,313.3,215.1,591.1669999999999,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
149,149,"Sakamoto, Noa",USA,47.016999999999996,339.983,222.567,615.7330000000001,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
150,150,"Schaaf, Constantin",AUS,78.85,315.517,179.183,581.033,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
151,151,"Shinozaki, Yu",JPN,58.833,311.883,302.4,680.4830000000001,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
